year,stalpbr,loans,re_loans,agloans,agloans_re,loans_year,re_loans_year,agloans_year,agloans_re_year,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,loans_d_year,loans_d_alt_year,re_loans_d_year,re_loans_d_alt_year,agloans_d_year,agloans_d_alt_year,agloans_re_d_year,agloans_re_d_alt_year,total_branches,total_ag_branches,total_ag_branch_deposits
1994,VA,52987250885.85912,29278233054.367527,190147652.90453133,259190661.3442495,53089582240.589264,29595951428.424244,181481176.6277919,261363022.99313518,747439034.8471819,747439034.8471819,473553424.96874154,473553424.96874154,1760645.9899228008,1760645.9899228008,6414267.064470491,6414267.064470491,717536393.5272236,717536393.5272236,459695442.8712134,459695442.8712134,1737044.9331869872,1737044.9331869872,6419477.640594612,6419477.640594612,2383,2,47697000
1994,VI,1303263976.3769953,449542350.5251305,4274685.588801872,2676294.278506694,1325104410.212838,463233830.64834094,4067090.42785837,2512340.6290278886,34941903.89861652,34941903.89861652,19490394.998644687,19490394.998644687,230961.54904399105,230961.54904399105,43074.82341064318,43074.82341064318,35299729.12169234,35299729.12169234,19202307.676482156,19202307.676482156,135319.6250560435,135319.6250560435,42573.28881194242,42573.28881194242,19,0,0
1994,VT,5845392999.999999,4314210999.999998,18031000.000000007,52235999.99999999,5905226083.333328,4331060250,17634750.000000007,51889750,156332000.00000003,156332000.00000003,126190999.99999997,126190999.99999997,3696999.9999999995,3696999.9999999995,5144999.999999999,5144999.999999999,148880916.66666666,148880916.66666666,121056500.00000001,121056500.00000001,1981249.9999999998,1981249.9999999998,4911250.000000001,4911250.000000001,261,0,0
1994,WA,50793189172.36048,31870115015.992126,1130775682.530426,234031274.49466273,51617030548.14582,32528082441.923134,1107939227.7984354,243161872.5579499,447014593.24410886,447014593.24410886,324718263.8390716,324718263.8390716,22918370.108208597,22918370.108208597,2593781.7158517214,2593781.7158517214,448498223.55789334,448498223.55789334,315467739.77868277,315467739.77868277,31378455.557636224,31378455.557636224,3596390.8579258597,3596390.8579258597,1733,47,2458458000
1994,WI,48411206205.0557,29666891252.56856,1205074078.1687014,986797104.7605065,50449721336.47103,30918408664.117256,1232343056.490127,1011595205.6741244,388523217.1895794,388523217.1895794,217989074.26348692,217989074.26348692,22750447.607083905,22750447.607083905,11773914.842627723,11773914.842627723,380814209.9378957,380814209.9378957,206198486.78094116,206198486.78094116,22306473.297417432,22306473.297417432,12675248.804336233,12675248.804336233,1943,166,7582955000
1994,WV,12362423060.159235,7574083826.889989,26146999.999999993,80215000.00000004,13272313901.387465,8070084807.807938,26296500.000000026,82746500.0000001,134818986.5896548,134818986.5896548,65927355.889018506,65927355.889018506,0,0,1278999.9999999998,1278999.9999999998,133286127.36792478,133286127.36792478,68969932.39888926,68969932.39888926,5750,5750,1002000,1002000,593,1,87014000
1994,WY,3426386391.479254,1707857174.5755675,374051952.420801,82702962.34309624,3700632882.662994,1948266247.3442633,358546362.09404254,81869123.03247659,26265982.43123252,26265982.43123252,11504088.014448537,11504088.014448537,4787999.999999999,4787999.999999999,643000,643000,24868401.849669106,24868401.849669106,10909888.61829988,10909888.61829988,3293500.0000000005,3293500.0000000005,614500,614500,136,25,1118372000
1995,AK,3029317216.6810174,1444157640.6621418,2958509.2908371957,2965052.787251159,3044743064.6615353,1468712667.5156364,2870179.299703145,2142557.358173105,18679818.65305522,18679818.65305522,9332200.539321769,9332200.539321769,0,0,0,0,21703624.021912776,21703624.021912776,10508893.108493181,10508893.108493181,0,0,0,0,131,0,0
1995,AL,37632650260.5076,21340676523.639633,358107998.6235694,340928996.9996904,37750026401.25502,21264306885.672142,339444415.0737189,344994413.4962366,209373979.159122,209373979.159122,109365121.21075952,109365121.21075952,11606000.000000017,11606000.000000017,1529999.9999999998,1529999.9999999998,217193437.13609752,217193437.13609752,109816247.78731258,109816247.78731258,3765250.0000000056,3765250.0000000056,1964750.0000000016,1964750.0000000016,1347,16,483960000
1995,AR,17653596494.029816,10359462782.291517,885961343.3737142,809271015.5133027,17996254494.91927,10554337610.483095,863079018.5273571,807289280.3550215,124474442.71639293,124474442.71639293,77316905.91364874,77316905.91364874,4447944.613064377,4447944.613064377,5387946.529215533,5387946.529215533,128571284.89717123,128571284.89717123,76070360.32708955,76070360.32708955,3659986.153266093,3659986.153266093,5769560.110692559,5769560.110692559,1045,155,9848732000
